tipo,ruta,clase,cantidad_wav,detalle
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\alarma\apaga\Base_apaga_p5_025.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_001.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_002.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_003.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_004.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_005.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_006.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_007.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_008.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_009.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_010.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_011.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_012.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_013.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_014.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_015.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_016.wav,,0,Archivo fuera de las carpetas directas esperadas.
ARCHIVO_FUERA_DE_LUGAR,audios_prueba_nuevos\Base\Base\Base\enciende\Base_enciende_p5_017.wav,,0,Archivo fuera de las carpetas directas esperadas.
