archivo_original,archivo_procesado,estado,duracion_original,duracion_procesada,observacion
..\dataset_original\audios_prueba_nuevos\base\puerta\Base_puerta_p5_009.m4a,..\dataset_procesado\audios_prueba_nuevos\base\puerta\Base_puerta_p5_009.wav,OK,1.6,1.556,
..\dataset_original\audios_prueba_nuevos\base\puerta\Base_puerta_p5_010.m4a,..\dataset_procesado\audios_prueba_nuevos\base\puerta\Base_puerta_p5_010.wav,OK,1.429333,1.385375,
..\dataset_original\audios_prueba_nuevos\base\puerta\Base_puerta_p5_011.m4a,..\dataset_procesado\audios_prueba_nuevos\base\puerta\Base_puerta_p5_011.wav,OK,1.514667,1.470688,
..\dataset_original\audios_prueba_nuevos\base\puerta\Base_puerta_p5_012.m4a,..\dataset_procesado\audios_prueba_nuevos\base\puerta\Base_puerta_p5_012.wav,OK,1.514667,1.470688,
..\dataset_original\audios_prueba_nuevos\base\puerta\Base_puerta_p5_013.m4a,..\dataset_procesado\audios_prueba_nuevos\base\puerta\Base_puerta_p5_013.wav,OK,1.685333,1.641375,
..\dataset_original\audios_prueba_nuevos\base\puerta\Base_puerta_p5_014.m4a,..\dataset_procesado\audios_prueba_nuevos\base\puerta\Base_puerta_p5_014.wav,OK,1.514667,1.470688,
..\dataset_original\audios_prueba_nuevos\base\puerta\Base_puerta_p5_015.m4a,..\dataset_procesado\audios_prueba_nuevos\base\puerta\Base_puerta_p5_015.wav,OK,1.514667,1.470688,
..\dataset_original\audios_prueba_nuevos\base\ruido_fondo\Base_ruido_fondo_p5_001.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ruido_fondo\Base_ruido_fondo_p5_001.wav,OK,1.344,1.3,
..\dataset_original\audios_prueba_nuevos\base\ruido_fondo\Base_ruido_fondo_p5_002.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ruido_fondo\Base_ruido_fondo_p5_002.wav,OK,1.685333,1.641375,
..\dataset_original\audios_prueba_nuevos\base\ruido_fondo\Base_ruido_fondo_p5_003.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ruido_fondo\Base_ruido_fondo_p5_003.wav,OK,1.856,1.812,
..\dataset_original\audios_prueba_nuevos\base\ruido_fondo\Base_ruido_fondo_p5_004.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ruido_fondo\Base_ruido_fondo_p5_004.wav,OK,2.026667,1.982688,
..\dataset_original\audios_prueba_nuevos\base\ruido_fondo\Base_ruido_fondo_p5_005.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ruido_fondo\Base_ruido_fondo_p5_005.wav,OK,1.685333,1.641375,
..\dataset_original\audios_prueba_nuevos\base\ruido_fondo\Base_ruido_fondo_p5_006.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ruido_fondo\Base_ruido_fondo_p5_006.wav,OK,1.6,1.556,
..\dataset_original\audios_prueba_nuevos\base\ruido_fondo\Base_ruido_fondo_p5_007.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ruido_fondo\Base_ruido_fondo_p5_007.wav,OK,1.429333,1.385375,
