archivo_original,archivo_procesado,estado,duracion_original,duracion_procesada,observacion
..\dataset_original\Base\apaga\base_apaga_p05_014.m4a,..\dataset_procesado\Base\apaga\base_apaga_p05_014.wav,OK,1.770667,1.726688,
..\dataset_original\Base\apaga\base_apaga_p05_015.m4a,..\dataset_procesado\Base\apaga\base_apaga_p05_015.wav,OK,1.941333,1.897375,
..\dataset_original\Base\apaga\base_apaga_p05_016.m4a,..\dataset_procesado\Base\apaga\base_apaga_p05_016.wav,OK,1.6,1.556,
..\dataset_original\Base\apaga\base_apaga_p05_017.m4a,..\dataset_procesado\Base\apaga\base_apaga_p05_017.wav,OK,1.6,1.556,
..\dataset_original\Base\apaga\base_apaga_p05_018.m4a,..\dataset_procesado\Base\apaga\base_apaga_p05_018.wav,OK,1.685333,1.641375,
..\dataset_original\Base\apaga\base_apaga_p05_019.m4a,..\dataset_procesado\Base\apaga\base_apaga_p05_019.wav,OK,1.514667,1.470688,
..\dataset_original\Base\apaga\base_apaga_p05_020.m4a,..\dataset_procesado\Base\apaga\base_apaga_p05_020.wav,OK,1.856,1.812,
..\dataset_original\Base\apaga\base_apaga_p05_021.m4a,..\dataset_procesado\Base\apaga\base_apaga_p05_021.wav,OK,1.685333,1.641375,
..\dataset_original\Base\apaga\base_apaga_p05_022.m4a,..\dataset_procesado\Base\apaga\base_apaga_p05_022.wav,OK,1.6,1.556,
..\dataset_original\Base\apaga\base_apaga_p05_023.m4a,..\dataset_procesado\Base\apaga\base_apaga_p05_023.wav,OK,1.6,1.556,
..\dataset_original\Base\apaga\base_apaga_p05_024.m4a,..\dataset_procesado\Base\apaga\base_apaga_p05_024.wav,OK,1.6,1.556,
..\dataset_original\Base\apaga\base_apaga_p05_025.m4a,..\dataset_procesado\Base\apaga\base_apaga_p05_025.wav,OK,1.514667,1.470688,
..\dataset_original\Base\apaga\base_apaga_p4_001.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_001.wav,OK,1.493313,1.493375,
..\dataset_original\Base\apaga\base_apaga_p4_002.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_002.wav,OK,1.514646,1.514688,
..\dataset_original\Base\apaga\base_apaga_p4_003.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_003.wav,OK,1.642646,1.642688,
..\dataset_original\Base\apaga\base_apaga_p4_004.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_004.wav,OK,1.578646,1.578688,
..\dataset_original\Base\apaga\base_apaga_p4_005.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_005.wav,OK,1.727979,1.728,
..\dataset_original\Base\apaga\base_apaga_p4_006.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_006.wav,OK,1.514646,1.514688,
..\dataset_original\Base\apaga\base_apaga_p4_007.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_007.wav,OK,1.151979,1.152,
..\dataset_original\Base\apaga\base_apaga_p4_008.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_008.wav,OK,1.343979,1.344,
..\dataset_original\Base\apaga\base_apaga_p4_009.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_009.wav,OK,1.279979,1.28,
..\dataset_original\Base\apaga\base_apaga_p4_010.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_010.wav,OK,1.386646,1.386688,
..\dataset_original\Base\apaga\base_apaga_p4_011.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_011.wav,OK,1.322646,1.322688,
..\dataset_original\Base\apaga\base_apaga_p4_012.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_012.wav,OK,1.514646,1.514688,
..\dataset_original\Base\apaga\base_apaga_p4_013.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_013.wav,OK,1.322646,1.322688,
..\dataset_original\Base\apaga\base_apaga_p4_014.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_014.wav,OK,1.407979,1.408,
..\dataset_original\Base\apaga\base_apaga_p4_015.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_015.wav,OK,1.493313,1.493375,
..\dataset_original\Base\apaga\base_apaga_p4_016.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_016.wav,OK,1.386646,1.386688,
..\dataset_original\Base\apaga\base_apaga_p4_017.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_017.wav,OK,1.365313,1.365375,
..\dataset_original\Base\apaga\base_apaga_p4_018.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_018.wav,OK,1.386646,1.386688,
..\dataset_original\Base\apaga\base_apaga_p4_019.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_019.wav,OK,1.407979,1.408,
..\dataset_original\Base\apaga\base_apaga_p4_020.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_020.wav,OK,1.599979,1.6,
..\dataset_original\Base\apaga\base_apaga_p4_021.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_021.wav,OK,1.151979,1.152,
..\dataset_original\Base\apaga\base_apaga_p4_022.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_022.wav,OK,1.343979,1.344,
..\dataset_original\Base\apaga\base_apaga_p4_023.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_023.wav,OK,1.258646,1.258688,
..\dataset_original\Base\apaga\base_apaga_p4_024.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_024.wav,OK,1.279979,1.28,
..\dataset_original\Base\apaga\base_apaga_p4_025.m4a,..\dataset_procesado\Base\apaga\base_apaga_p4_025.wav,OK,1.194646,1.194688,
..\dataset_original\Base\enciende\base_enciende_p01_001.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_001.wav,OK,1.856,1.812,
..\dataset_original\Base\enciende\base_enciende_p01_002.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_002.wav,OK,1.856,1.812,
..\dataset_original\Base\enciende\base_enciende_p01_003.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_003.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p01_004.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_004.wav,OK,2.026667,1.982688,
..\dataset_original\Base\enciende\base_enciende_p01_005.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_005.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p01_006.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_006.wav,OK,1.685333,1.641375,
..\dataset_original\Base\enciende\base_enciende_p01_007.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_007.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p01_008.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_008.wav,OK,2.197333,2.153375,
..\dataset_original\Base\enciende\base_enciende_p01_009.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_009.wav,OK,2.026667,1.982688,
..\dataset_original\Base\enciende\base_enciende_p01_010.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_010.wav,OK,2.197333,2.153375,
..\dataset_original\Base\enciende\base_enciende_p01_011.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_011.wav,OK,2.112,2.068,
..\dataset_original\Base\enciende\base_enciende_p01_012.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_012.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p01_013.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_013.wav,OK,2.026667,1.982688,
..\dataset_original\Base\enciende\base_enciende_p01_014.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_014.wav,OK,2.197333,2.153375,
..\dataset_original\Base\enciende\base_enciende_p01_015.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_015.wav,OK,2.112,2.068,
..\dataset_original\Base\enciende\base_enciende_p01_016.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_016.wav,OK,2.026667,1.982688,
..\dataset_original\Base\enciende\base_enciende_p01_017.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_017.wav,OK,2.282667,2.238688,
..\dataset_original\Base\enciende\base_enciende_p01_018.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_018.wav,OK,1.941333,1.897375,
..\dataset_original\Base\enciende\base_enciende_p01_019.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_019.wav,OK,2.026667,1.982688,
..\dataset_original\Base\enciende\base_enciende_p01_020.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_020.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p01_021.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_021.wav,OK,2.282667,2.238688,
..\dataset_original\Base\enciende\base_enciende_p01_022.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_022.wav,OK,2.112,2.068,
..\dataset_original\Base\enciende\base_enciende_p01_023.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_023.wav,OK,1.856,1.812,
..\dataset_original\Base\enciende\base_enciende_p01_024.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_024.wav,OK,2.368,2.324,
..\dataset_original\Base\enciende\base_enciende_p01_025.m4a,..\dataset_procesado\Base\enciende\base_enciende_p01_025.wav,OK,1.685333,1.641375,
..\dataset_original\Base\enciende\base_enciende_p02_001.m4a,..\dataset_procesado\Base\enciende\base_enciende_p02_001.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p02_002.m4a,..\dataset_procesado\Base\enciende\base_enciende_p02_002.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p02_003.m4a,..\dataset_procesado\Base\enciende\base_enciende_p02_003.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p02_004.m4a,..\dataset_procesado\Base\enciende\base_enciende_p02_004.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p02_005.m4a,..\dataset_procesado\Base\enciende\base_enciende_p02_005.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p02_006.m4a,..\dataset_procesado\Base\enciende\base_enciende_p02_006.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p02_008.m4a,..\dataset_procesado\Base\enciende\base_enciende_p02_008.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p02_018.m4a,..\dataset_procesado\Base\enciende\base_enciende_p02_018.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p02_020.m4a,..\dataset_procesado\Base\enciende\base_enciende_p02_020.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p02_024.m4a,..\dataset_procesado\Base\enciende\base_enciende_p02_024.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p05_001.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_001.wav,OK,1.6,1.556,
..\dataset_original\Base\enciende\base_enciende_p05_002.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_002.wav,OK,1.6,1.556,
..\dataset_original\Base\enciende\base_enciende_p05_003.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_003.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p05_004.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_004.wav,OK,1.514667,1.470688,
..\dataset_original\Base\enciende\base_enciende_p05_005.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_005.wav,OK,1.685333,1.641375,
..\dataset_original\Base\enciende\base_enciende_p05_006.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_006.wav,OK,1.685333,1.641375,
..\dataset_original\Base\enciende\base_enciende_p05_007.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_007.wav,OK,1.514667,1.470688,
..\dataset_original\Base\enciende\base_enciende_p05_008.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_008.wav,OK,1.685333,1.641375,
..\dataset_original\Base\enciende\base_enciende_p05_009.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_009.wav,OK,1.514667,1.470688,
..\dataset_original\Base\enciende\base_enciende_p05_010.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_010.wav,OK,1.856,1.812,
..\dataset_original\Base\enciende\base_enciende_p05_011.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_011.wav,OK,1.6,1.556,
..\dataset_original\Base\enciende\base_enciende_p05_012.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_012.wav,OK,1.685333,1.641375,
..\dataset_original\Base\enciende\base_enciende_p05_013.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_013.wav,OK,1.429333,1.385375,
..\dataset_original\Base\enciende\base_enciende_p05_014.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_014.wav,OK,1.856,1.812,
..\dataset_original\Base\enciende\base_enciende_p05_015.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_015.wav,OK,1.514667,1.470688,
..\dataset_original\Base\enciende\base_enciende_p05_016.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_016.wav,OK,1.6,1.556,
..\dataset_original\Base\enciende\base_enciende_p05_017.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_017.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p05_018.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_018.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p05_019.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_019.wav,OK,1.6,1.556,
..\dataset_original\Base\enciende\base_enciende_p05_020.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_020.wav,OK,1.856,1.812,
..\dataset_original\Base\enciende\base_enciende_p05_021.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_021.wav,OK,1.856,1.812,
..\dataset_original\Base\enciende\base_enciende_p05_022.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_022.wav,OK,1.770667,1.726688,
..\dataset_original\Base\enciende\base_enciende_p05_023.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_023.wav,OK,1.514667,1.470688,
..\dataset_original\Base\enciende\base_enciende_p05_024.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_024.wav,OK,1.685333,1.641375,
..\dataset_original\Base\enciende\base_enciende_p05_025.m4a,..\dataset_procesado\Base\enciende\base_enciende_p05_025.wav,OK,1.6,1.556,
..\dataset_original\Base\enciende\base_enciende_p4_001.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_001.wav,OK,2.261292,2.261375,
..\dataset_original\Base\enciende\base_enciende_p4_002.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_002.wav,OK,1.791979,1.792,
..\dataset_original\Base\enciende\base_enciende_p4_003.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_003.wav,OK,1.663979,1.664,
..\dataset_original\Base\enciende\base_enciende_p4_004.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_004.wav,OK,1.535979,1.536,
..\dataset_original\Base\enciende\base_enciende_p4_005.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_005.wav,OK,1.450646,1.450688,
..\dataset_original\Base\enciende\base_enciende_p4_006.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_006.wav,OK,1.535979,1.536,
..\dataset_original\Base\enciende\base_enciende_p4_007.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_007.wav,OK,1.749313,1.749375,
..\dataset_original\Base\enciende\base_enciende_p4_008.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_008.wav,OK,1.770646,1.770688,
..\dataset_original\Base\enciende\base_enciende_p4_009.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_009.wav,OK,1.429313,1.429375,
..\dataset_original\Base\enciende\base_enciende_p4_010.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_010.wav,OK,1.407979,1.408,
..\dataset_original\Base\enciende\base_enciende_p4_011.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_011.wav,OK,1.791979,1.792,
..\dataset_original\Base\enciende\base_enciende_p4_012.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_012.wav,OK,1.621313,1.621375,
..\dataset_original\Base\enciende\base_enciende_p4_013.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_013.wav,OK,1.642646,1.642688,
..\dataset_original\Base\enciende\base_enciende_p4_014.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_014.wav,OK,1.663979,1.664,
..\dataset_original\Base\enciende\base_enciende_p4_015.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_015.wav,OK,1.898646,1.898688,
..\dataset_original\Base\enciende\base_enciende_p4_016.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_016.wav,OK,1.557313,1.557375,
..\dataset_original\Base\enciende\base_enciende_p4_017.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_017.wav,OK,1.578646,1.578688,
..\dataset_original\Base\enciende\base_enciende_p4_018.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_018.wav,OK,1.578646,1.578688,
..\dataset_original\Base\enciende\base_enciende_p4_019.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_019.wav,OK,1.429313,1.429375,
..\dataset_original\Base\enciende\base_enciende_p4_020.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_020.wav,OK,1.429313,1.429375,
..\dataset_original\Base\enciende\base_enciende_p4_021.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_021.wav,OK,1.365313,1.365375,
..\dataset_original\Base\enciende\base_enciende_p4_022.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_022.wav,OK,1.343979,1.344,
..\dataset_original\Base\enciende\base_enciende_p4_023.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_023.wav,OK,1.407979,1.408,
..\dataset_original\Base\enciende\base_enciende_p4_024.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_024.wav,OK,1.365313,1.365375,
..\dataset_original\Base\enciende\base_enciende_p4_025.m4a,..\dataset_procesado\Base\enciende\base_enciende_p4_025.wav,OK,1.535979,1.536,
..\dataset_original\Base\puerta\base_puerta_p01_001.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_001.wav,OK,1.941333,1.897375,
..\dataset_original\Base\puerta\base_puerta_p01_002.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_002.wav,OK,1.941333,1.897375,
..\dataset_original\Base\puerta\base_puerta_p01_003.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_003.wav,OK,1.856,1.812,
..\dataset_original\Base\puerta\base_puerta_p01_004.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_004.wav,OK,1.770667,1.726688,
..\dataset_original\Base\puerta\base_puerta_p01_005.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_005.wav,OK,1.856,1.812,
..\dataset_original\Base\puerta\base_puerta_p01_006.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_006.wav,OK,1.770667,1.726688,
..\dataset_original\Base\puerta\base_puerta_p01_007.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_007.wav,OK,1.770667,1.726688,
..\dataset_original\Base\puerta\base_puerta_p01_008.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_008.wav,OK,2.026667,1.982688,
..\dataset_original\Base\puerta\base_puerta_p01_009.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_009.wav,OK,2.282667,2.238688,
..\dataset_original\Base\puerta\base_puerta_p01_010.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_010.wav,OK,2.112,2.068,
..\dataset_original\Base\puerta\base_puerta_p01_011.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_011.wav,OK,2.112,2.068,
..\dataset_original\Base\puerta\base_puerta_p01_012.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_012.wav,OK,2.026667,1.982688,
..\dataset_original\Base\puerta\base_puerta_p01_013.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_013.wav,OK,1.856,1.812,
..\dataset_original\Base\puerta\base_puerta_p01_014.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_014.wav,OK,1.856,1.812,
..\dataset_original\Base\puerta\base_puerta_p01_015.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_015.wav,OK,2.026667,1.982688,
..\dataset_original\Base\puerta\base_puerta_p01_016.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_016.wav,OK,1.770667,1.726688,
..\dataset_original\Base\puerta\base_puerta_p01_017.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_017.wav,OK,1.429333,1.385375,
..\dataset_original\Base\puerta\base_puerta_p01_018.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_018.wav,OK,1.856,1.812,
..\dataset_original\Base\puerta\base_puerta_p01_019.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_019.wav,OK,2.282667,2.238688,
..\dataset_original\Base\puerta\base_puerta_p01_020.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_020.wav,OK,1.6,1.556,
..\dataset_original\Base\puerta\base_puerta_p01_021.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_021.wav,OK,1.941333,1.897375,
..\dataset_original\Base\puerta\base_puerta_p01_022.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_022.wav,OK,1.770667,1.726688,
..\dataset_original\Base\puerta\base_puerta_p01_023.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_023.wav,OK,1.856,1.812,
..\dataset_original\Base\puerta\base_puerta_p01_024.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_024.wav,OK,2.026667,1.982688,
..\dataset_original\Base\puerta\base_puerta_p01_025.m4a,..\dataset_procesado\Base\puerta\base_puerta_p01_025.wav,OK,1.856,1.812,
..\dataset_original\Base\puerta\base_puerta_p05_001.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_001.wav,OK,1.770667,1.726688,
..\dataset_original\Base\puerta\base_puerta_p05_002.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_002.wav,OK,1.514667,1.470688,
..\dataset_original\Base\puerta\base_puerta_p05_003.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_003.wav,OK,1.6,1.556,
..\dataset_original\Base\puerta\base_puerta_p05_004.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_004.wav,OK,1.685333,1.641375,
..\dataset_original\Base\puerta\base_puerta_p05_005.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_005.wav,OK,1.514667,1.470688,
..\dataset_original\Base\puerta\base_puerta_p05_006.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_006.wav,OK,1.685333,1.641375,
..\dataset_original\Base\puerta\base_puerta_p05_007.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_007.wav,OK,1.258667,1.214688,
..\dataset_original\Base\puerta\base_puerta_p05_008.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_008.wav,OK,1.770667,1.726688,
..\dataset_original\Base\puerta\base_puerta_p05_009.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_009.wav,OK,1.6,1.556,
..\dataset_original\Base\puerta\base_puerta_p05_010.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_010.wav,OK,1.770667,1.726688,
..\dataset_original\Base\puerta\base_puerta_p05_011.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_011.wav,OK,1.514667,1.470688,
..\dataset_original\Base\puerta\base_puerta_p05_012.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_012.wav,OK,1.685333,1.641375,
..\dataset_original\Base\puerta\base_puerta_p05_013.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_013.wav,OK,1.514667,1.470688,
..\dataset_original\Base\puerta\base_puerta_p05_014.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_014.wav,OK,1.941333,1.897375,
..\dataset_original\Base\puerta\base_puerta_p05_015.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_015.wav,OK,1.770667,1.726688,
..\dataset_original\Base\puerta\base_puerta_p05_016.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_016.wav,OK,1.514667,1.470688,
..\dataset_original\Base\puerta\base_puerta_p05_017.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_017.wav,OK,1.770667,1.726688,
..\dataset_original\Base\puerta\base_puerta_p05_018.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_018.wav,OK,1.6,1.556,
..\dataset_original\Base\puerta\base_puerta_p05_019.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_019.wav,OK,1.6,1.556,
..\dataset_original\Base\puerta\base_puerta_p05_020.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_020.wav,OK,1.685333,1.641375,
..\dataset_original\Base\puerta\base_puerta_p05_021.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_021.wav,OK,1.685333,1.641375,
..\dataset_original\Base\puerta\base_puerta_p05_022.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_022.wav,OK,1.685333,1.641375,
..\dataset_original\Base\puerta\base_puerta_p05_023.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_023.wav,OK,1.6,1.556,
..\dataset_original\Base\puerta\base_puerta_p05_024.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_024.wav,OK,1.685333,1.641375,
..\dataset_original\Base\puerta\base_puerta_p05_025.m4a,..\dataset_procesado\Base\puerta\base_puerta_p05_025.wav,OK,1.6,1.556,
..\dataset_original\Base\puerta\base_puerta_p1_001.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_001.wav,OK,1.301313,1.301375,
..\dataset_original\Base\puerta\base_puerta_p1_002.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_002.wav,OK,1.258646,1.258688,
..\dataset_original\Base\puerta\base_puerta_p1_003.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_003.wav,OK,1.706646,1.706688,
..\dataset_original\Base\puerta\base_puerta_p1_004.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_004.wav,OK,2.389292,2.389375,
..\dataset_original\Base\puerta\base_puerta_p1_005.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_005.wav,OK,1.855979,1.856,
..\dataset_original\Base\puerta\base_puerta_p1_006.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_006.wav,OK,1.343979,1.344,
..\dataset_original\Base\puerta\base_puerta_p1_007.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_007.wav,OK,1.919979,1.92,
..\dataset_original\Base\puerta\base_puerta_p1_008.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_008.wav,OK,1.151979,1.152,
..\dataset_original\Base\puerta\base_puerta_p1_009.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_009.wav,OK,1.173313,1.173375,
..\dataset_original\Base\puerta\base_puerta_p1_010.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_010.wav,OK,1.983979,1.984,
..\dataset_original\Base\puerta\base_puerta_p1_011.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_011.wav,OK,1.962646,1.962688,
..\dataset_original\Base\puerta\base_puerta_p1_012.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_012.wav,OK,1.599979,1.6,
..\dataset_original\Base\puerta\base_puerta_p1_013.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_013.wav,OK,1.791979,1.792,
..\dataset_original\Base\puerta\base_puerta_p1_014.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_014.wav,OK,1.685313,1.685375,
..\dataset_original\Base\puerta\base_puerta_p1_015.m4a,..\dataset_procesado\Base\puerta\base_puerta_p1_015.wav,OK,1.343979,1.344,
